gene_id,nickname,accession,source,substrate,timepoint_hours,average_intensity,stddev_intensity,sample_count
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET12.5,120,0.02366666667512618,0.018735496134107483,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET25,8,0.011406863166484982,0.004743706285243684,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET25,24,-0.004362744919490069,0.011489665551636054,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET25,48,-0.003323529541376047,0.007878066314369365,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET25,72,0.006637254584347829,0.027639669090546614,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET25,96,0.016762255370849743,0.03233527989453574,8
AR00012,UnfortunatePoem,AR241010_77,GRASP_241010,BHET25,120,0.00576960772741586,0.027804110546114768,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET12.5,8,-0.007227941241580993,0.012820243892359652,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET12.5,24,-0.004495097949984483,0.005318976409517319,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET12.5,48,0.0020024508703500032,0.018700379978905515,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET12.5,72,0.0036127449857303873,0.008909976546062532,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET12.5,96,-0.002245098352432251,0.022446037238973586,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET12.5,120,0.008509803883498535,0.016373100966575935,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET25,8,0.011539215629454702,0.00701692350017572,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET25,24,-0.006259803718421608,0.012227731058731525,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET25,48,-0.010191176377702504,0.004829989669756648,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET25,72,-0.009426470860489644,0.021558326674997668,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET25,96,-0.009245097753591835,0.013528408705704745,8
AR00013,LowCustomer,AR241010_86,GRASP_241010,BHET25,120,-0.014965686132200062,0.016486293240931097,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET12.5,8,-0.006348039256408811,0.01426387771251477,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET12.5,24,-0.00101715701748617,0.006834197865816359,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET12.5,48,0.0034019609447568655,0.02222082683421642,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET12.5,72,0.0068627449800260365,0.011027211166469233,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET12.5,96,-0.004799019719030184,0.01987347170550448,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET12.5,120,0.006799019902246073,0.02276411824378187,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET25,8,0.00809313720674254,0.003929568118813685,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET25,24,-0.010480391909368336,0.006255248551870014,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET25,48,-0.004428917689438094,0.005619356984085693,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET25,72,0.00675980375308427,0.01817186568810331,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET25,96,0.013759804001892917,0.027132546086390135,8
AR00014,PreciousThing,AR241010_100,GRASP_241010,BHET25,120,0.009205882204696536,0.01994141721796861,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET12.5,8,-0.006154411938041449,0.014261885538779096,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET12.5,24,-0.003139705877401866,0.007903913316232324,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET12.5,48,0.003294117166660726,0.017698251318697573,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET12.5,72,0.0021053921482234728,0.007316979707010983,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET12.5,96,-0.013524509486160241,0.020931096554369713,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET12.5,120,-0.006031862663803622,0.016111886614274377,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET25,8,0.008928921713959426,0.004359383175534044,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET25,24,-0.007811274379491806,0.00670982826754473,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET25,48,0.0006372550124069676,0.013545773939069897,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET25,72,0.015973038607626222,0.03496088312547673,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET25,96,0.014203431681380607,0.02395634188173307,8
AR00015,SentimentalExercise,AR241010_106,GRASP_241010,BHET25,120,0.012421568740137445,0.025664003211269413,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET12.5,8,-0.007583333441289142,0.013786992078484009,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET12.5,24,0.00023039209190756083,0.006209659331188594,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET12.5,48,-0.0023872548481449485,0.01834254097946036,8
