gene_id,nickname,accession,source,substrate,activity,peak_value,peak_timepoint_hours,min_value,min_timepoint_hours,flag,timepoint_count
LG00043,UtterFinish,ERR8106065_1375561,Logan 1.0,BHET12.5,0.019414215756114572,-0.005426470714155585,24,-0.024840686470270157,96,,6
LG00043,UtterFinish,ERR8106065_1375561,Logan 1.0,BHET25,0.04516666670679115,0.009122548945015296,8,-0.03604411776177585,120,peak_at_start,6
LG00044,AlarmingBike,ERR868388_2138178,Logan 1.0,BHET12.5,0.01844117639120668,-0.005107843317091465,24,-0.023549019708298147,96,,6
LG00044,AlarmingBike,ERR868388_2138178,Logan 1.0,BHET25,0.04208333318820223,0.010122548963408917,8,-0.031960784224793315,120,peak_at_start,6
LG00045,VagueMeal,ERR868484_4384,Logan 1.0,BHET12.5,0.05511519609717652,-0.005992647085804492,8,-0.061107843182981014,120,peak_at_start,6
LG00045,VagueMeal,ERR868484_4384,Logan 1.0,BHET25,0.005774509976617992,0.022122549125924706,96,0.016348039149306715,120,single_degradation_point,6
LG00046,UnrealisticLadder,ERR9287623_1288104,Logan 1.0,BHET12.5,0.016762254992499948,-0.0031004900811240077,48,-0.019862745073623955,96,,6
LG00046,UnrealisticLadder,ERR9287623_1288104,Logan 1.0,BHET25,0.04276470630429685,0.012794117676094174,8,-0.029970588628202677,120,peak_at_start,6
LG00047,BusyBottom,ERR9698294_3076,Logan 1.0,BHET12.5,0.014659313630545512,-0.003642156720161438,48,-0.01830147035070695,96,,6
LG00047,BusyBottom,ERR9698294_3076,Logan 1.0,BHET25,0.04991176474140957,0.012480391946155578,8,-0.03743137279525399,120,peak_at_start,6
LG00048,GrubbyProfit,ERR9769279_34127,Logan 1.0,BHET12.5,0.017053921648766845,-0.003607843187637627,48,-0.020661764836404473,96,,6
LG00048,GrubbyProfit,ERR9769279_34127,Logan 1.0,BHET25,0.04722303891321644,0.01141421584179625,8,-0.03580882307142019,120,peak_at_start,6
LG00049,WiltedCapital,ERR9844462_623,Logan 1.0,BHET12.5,0.022446078102802858,-0.0036960784636903554,24,-0.026142156566493213,96,,6
LG00049,WiltedCapital,ERR9844462_623,Logan 1.0,BHET25,0.010517156624700874,0.015120097843464464,8,0.00460294121876359,72,peak_at_start,6
LG00050,PeskyPatient,ERR9936833_584,Logan 1.0,BHET12.5,0.05284803931135684,-0.00476960779633373,8,-0.05761764710769057,120,peak_at_start,6
LG00050,PeskyPatient,ERR9936833_584,Logan 1.0,BHET25,0.11118137274752371,0.00822549030999653,8,-0.10295588243752718,120,peak_at_start,6
LG00051,AutomaticMetal,ERR9936846_204,Logan 1.0,BHET12.5,0.03904901968780905,-0.006666666711680591,8,-0.04571568639948964,72,peak_at_start,6
LG00051,AutomaticMetal,ERR9936846_204,Logan 1.0,BHET25,0.09287009817489889,0.008963235290138982,8,-0.0839068628847599,72,peak_at_start,6
LG00052,NaiveGrocery,ERR9963791_1782184,Logan 1.0,BHET12.5,0.021237743748315552,0.00045342955036176136,24,-0.02078431419795379,96,,6
LG00052,NaiveGrocery,ERR9963791_1782184,Logan 1.0,BHET25,0.04154411706258543,0.008289215649710968,8,-0.03325490141287446,120,peak_at_start,6
LG00053,MelodicApartment,ERR9963791_553102,Logan 1.0,BHET12.5,0.027289215591736138,-0.0030490196077153087,24,-0.030338235199451447,96,,6
LG00053,MelodicApartment,ERR9963791_553102,Logan 1.0,BHET25,0.05126470507821068,0.006446078361477703,8,-0.04481862671673298,120,peak_at_start,6
LG00054,EmbellishedTeacher,MGYP000931547452A,Logan 1.0,BHET12.5,,0.0025661762920208275,120,,,peak_at_end,6
LG00054,EmbellishedTeacher,MGYP000931547452A,Logan 1.0,BHET25,0.028779412037692964,0.007578431512229145,8,-0.02120098052546382,24,peak_at_start,6
LG00055,SparseContribution,MGYP000935144178A,Logan 1.0,BHET12.5,0.02127696124080103,-0.00007352932880166918,24,-0.021350490569602698,96,,6
LG00055,SparseContribution,MGYP000935144178A,Logan 1.0,BHET25,0.03585049032699317,0.007379901886451989,8,-0.028470588440541178,120,peak_at_start,6
LG00056,ComplicatedAdvance,MGYP001010025864A,Logan 1.0,BHET12.5,0.02520098248442082,0.0032303940033671097,24,-0.02197058848105371,96,,6
LG00056,ComplicatedAdvance,MGYP001010025864A,Logan 1.0,BHET25,0.04737254929204937,0.00709313758125063,8,-0.04027941171079874,120,peak_at_start,6
LG00057,StrictPanic,MGYP001557180572A,Logan 1.0,BHET12.5,0.025730392120749457,0.0008970590242824983,24,-0.02483333309646696,96,,6
LG00057,StrictPanic,MGYP001557180572A,Logan 1.0,BHET25,0.04842892142187338,0.006110294183599763,8,-0.04231862723827362,120,peak_at_start,6
LG00058,EveryNecessary,MGYP002716753343A,Logan 1.0,BHET12.5,,0.0346911761444062,120,,,peak_at_end,6
LG00058,EveryNecessary,MGYP002716753343A,Logan 1.0,BHET25,,0.0410441176063614,120,,,peak_at_end,6
LG00059,HandsomeStress,MGYP003385382674A,Logan 1.0,BHET12.5,0.01879901955544483,-0.002029411683906801,72,-0.02082843123935163,96,single_degradation_point,6
LG00059,HandsomeStress,MGYP003385382674A,Logan 1.0,BHET25,0.03550000026189082,0.010321078416382079,8,-0.02517892184550874,120,peak_at_start,6
LG00060,UnitedTrain,SRR10053376_3326,Logan 1.0,BHET12.5,0.02244852935837116,-0.0031421568855876103,24,-0.02559068624395877,96,,6
